name,link,number,ean,manufacturerNumber,price,currency
Xerox Schwarz Original Toner (entspricht: HP CF210X) 2400 Seiten (006R03181),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cf210x-2400-seiten-p-306530/?cPath=2_3848_5130_5713_5714_17677,,0095205864366,006R03181,44.89,€
Xerox Schwarz Original Toner (entspricht: HP CF281A) 13.300 Seiten (006R03336),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cf281a-13300-seiten-p-306549/?cPath=2_3848_5130_5713_5714_17677,,0095205835717,006R03336,96.89,€
Xerox Schwarz Original Toner (entspricht: HP CF281X) 31.200 Seiten (006R03337),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cf281x-31200-seiten-p-306525/?cPath=2_3848_5130_5713_5714_17677,,0095205835724,006R03337,157.49,€
Xerox Schwarz Original Toner (entspricht: HP CF283X) 2.900 Seiten (006R03322),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cf283x-2900-seiten-p-306551/?cPath=2_3848_5130_5713_5714_17677,,0095205832273,006R03322,49.89,€
Xerox Schwarz Original Toner (entspricht: HP CF300A) 29.500 Seiten (006R03338),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cf300a-29500-seiten-p-306556/?cPath=2_3848_5130_5713_5714_17677,,0095205835809,006R03338,64.49,€
Xerox Schwarz Original Toner (entspricht: HP CF310A) 29000 Seiten (006R03343),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cf310a-29000-seiten-p-306562/?cPath=2_3848_5130_5713_5714_17677,,0095205835762,006R03343,171.89,€
Xerox Schwarz Original Toner (entspricht: HP CF320A) 13000 Seiten (006R03257),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-cf320a-13000-seiten-p-306526/?cPath=2_3848_5130_5713_5714_17677,,0095205827811,006R03257,109.49,€
Xerox Schwarz Original Toner (entspricht: Canon 1557A003) 2000 Seiten (006R03222),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-canon-1557a003-2000-seiten-p-306564/?cPath=2_3848_5130_5713_5714_17677,,0095205869729,006R03222,38.49,€
Xerox Schwarz Original Toner (entspricht: Canon 725)  1600 Seiten (006R03353),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-canon-725-1600-seiten-p-306552/?cPath=2_3848_5130_5713_5714_17677,,0095205838909,006R03353,35.49,€
Xerox Schwarz Original Toner (entspricht: Epson C13S050436) 3500 Seiten (006R03209),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-epson-c13s050436-3500-seiten-p-306563/?cPath=2_3848_5130_5713_5714_17677,,0095205865684,006R03209,75.49,€
Xerox Schwarz Original Toner (entspricht: HP 14X) 17500 Seiten (006R03219),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-14x-17500-seiten-p-306546/?cPath=2_3848_5130_5713_5714_17677,,0095205869699,006R03219,117.49,€
